setting,idx,E_idx,t_idx,E_low,E_high,abs_t_tmin_low,abst_t_tmin_high,avg_E,avg_abs_t_tmin,avg_abs_t,dsdt_nb,stat_error,sys_error,tot_error
1,0,8,0,9.85,10,0,0.1,9.92,0.05,0.63,0.724,0.167,0.051,0.175
1,1,8,1,9.85,10,0.1,0.2,9.93,0.15,0.73,0.349,0.162,0.05,0.169
1,2,9,0,10,10.15,0,0.1,10.08,0.05,0.6,0.918,0.136,0.014,0.137
1,3,9,1,10,10.15,0.1,0.2,10.08,0.15,0.7,0.505,0.155,0.024,0.157
1,4,9,2,10,10.15,0.2,0.3,10.08,0.25,0.8,0.44,0.17,0.006,0.17
1,5,9,3,10,10.15,0.3,0.4,10.08,0.35,0.9,0.372,0.192,0.044,0.197
1,6,9,4,10,10.15,0.4,0.6,10.07,0.5,1.05,0.649,0.189,0.066,0.2
1,7,10,0,10.15,10.3,0,0.1,10.23,0.05,0.57,0.738,0.108,0.002,0.108
1,8,10,1,10.15,10.3,0.1,0.2,10.23,0.15,0.67,0.885,0.15,0.023,0.152
1,9,10,2,10.15,10.3,0.2,0.3,10.23,0.25,0.77,1.071,0.194,0.021,0.195
1,10,10,3,10.15,10.3,0.3,0.4,10.23,0.35,0.87,0.75,0.2,0.044,0.205
1,11,10,4,10.15,10.3,0.4,0.5,10.22,0.45,0.97,0.551,0.204,0.028,0.206
1,12,10,5,10.15,10.3,0.5,0.7,10.23,0.6,1.12,0.248,0.121,0.012,0.122
1,13,11,0,10.3,10.45,0,0.1,10.38,0.05,0.54,0.975,0.12,0.034,0.125
1,14,11,1,10.3,10.45,0.1,0.2,10.38,0.15,0.64,0.602,0.128,0.033,0.132
1,15,11,2,10.3,10.45,0.2,0.3,10.38,0.25,0.74,0.607,0.15,0.01,0.15
1,16,11,3,10.3,10.45,0.3,0.4,10.38,0.35,0.84,0.443,0.158,0.043,0.163
1,17,11,4,10.3,10.45,0.4,0.5,10.38,0.45,0.94,0.491,0.183,0.025,0.185
1,18,11,5,10.3,10.45,0.5,0.7,10.38,0.6,1.09,0.38,0.124,0.019,0.125
1,19,12,0,10.45,10.6,0,0.1,10.56,0.05,0.51,0.971,0.144,0.035,0.148
1,20,12,1,10.45,10.6,0.1,0.2,10.56,0.15,0.61,0.77,0.164,0.043,0.169
1,21,12,2,10.45,10.6,0.2,0.3,10.55,0.25,0.71,0.719,0.188,0.022,0.189
1,22,12,3,10.45,10.6,0.3,0.4,10.55,0.35,0.81,1.064,0.244,0.088,0.259
1,23,12,4,10.45,10.6,0.4,0.5,10.55,0.45,0.91,0.437,0.206,0.043,0.21
1,24,12,5,10.45,10.6,0.5,0.7,10.55,0.6,1.06,0.584,0.161,0.027,0.163
1,25,12,6,10.45,10.6,0.7,0.9,10.54,0.8,1.26,0.22,0.131,0.038,0.136
2,0,3,0,9.1,9.25,0,0.1,9.17,0.05,0.87,0.227,0.061,0.02,0.064
2,1,3,1,9.1,9.25,0.1,0.2,9.18,0.15,0.96,0.257,0.111,0.01,0.112
2,2,3,2,9.1,9.25,0.2,0.3,9.18,0.25,1.06,0.387,0.162,0.031,0.165
2,3,4,0,9.25,9.4,0,0.1,9.33,0.05,0.8,0.232,0.047,0.017,0.05
2,4,4,1,9.25,9.4,0.1,0.25,9.33,0.17,0.92,0.312,0.061,0.012,0.062
2,5,4,2,9.25,9.4,0.25,0.4,9.33,0.32,1.07,0.131,0.069,0.011,0.07
2,6,4,3,9.25,9.4,0.4,0.6,9.33,0.5,1.25,0.326,0.128,0.03,0.131
2,7,5,0,9.4,9.55,0,0.1,9.48,0.05,0.75,0.405,0.056,0.009,0.056
2,8,5,1,9.4,9.55,0.1,0.2,9.48,0.15,0.85,0.402,0.075,0.004,0.075
2,9,5,2,9.4,9.55,0.2,0.3,9.48,0.25,0.95,0.46,0.092,0.019,0.094
2,10,5,3,9.4,9.55,0.3,0.5,9.48,0.4,1.1,0.395,0.073,0.022,0.076
2,11,5,4,9.4,9.55,0.5,0.7,9.48,0.6,1.3,0.409,0.119,0.042,0.126
2,12,6,0,9.55,9.7,0,0.1,9.63,0.05,0.71,0.525,0.073,0.009,0.074
2,13,6,1,9.55,9.7,0.1,0.2,9.63,0.15,0.81,0.575,0.093,0.013,0.094
2,14,6,2,9.55,9.7,0.2,0.3,9.63,0.25,0.91,0.49,0.1,0.028,0.104
2,15,6,3,9.55,9.7,0.3,0.45,9.63,0.37,1.03,0.39,0.084,0.025,0.087
2,16,6,4,9.55,9.7,0.45,0.6,9.63,0.52,1.18,0.361,0.104,0.013,0.105
2,17,6,5,9.55,9.7,0.6,0.8,9.63,0.7,1.36,0.29,0.11,0.018,0.112
2,18,7,0,9.7,9.85,0,0.1,9.78,0.05,0.67,0.691,0.114,0.03,0.118
2,19,7,1,9.7,9.85,0.1,0.2,9.78,0.15,0.77,0.46,0.119,0.01,0.12
2,20,7,2,9.7,9.85,0.2,0.3,9.78,0.25,0.87,0.601,0.141,0.011,0.141
2,21,7,3,9.7,9.85,0.3,0.45,9.78,0.37,0.99,0.358,0.106,0.017,0.107
2,22,7,4,9.7,9.85,0.45,0.65,9.78,0.55,1.17,0.344,0.106,0.008,0.107
2,23,7,5,9.7,9.85,0.65,1,9.78,0.81,1.43,0.194,0.091,0.012,0.092
2,24,8,0,9.85,10,0,0.2,9.93,0.1,0.68,0.75,0.152,0.06,0.163
2,25,8,1,9.85,10,0.2,0.4,9.93,0.3,0.88,0.573,0.14,0.048,0.148
2,26,8,2,9.85,10,0.4,0.65,9.93,0.52,1.1,0.437,0.136,0.022,0.138
3,0,1,0,8.7,8.9,0.75,1.1,8.8,0.91,1.93,0.156,0.056,0.021,0.06
3,2,2,0,8.9,9.1,1.15,1.55,9,1.34,2.24,0.069,0.032,0.011,0.034
3,3,2,1,8.9,9.1,1.55,1.95,9,1.74,2.64,0.031,0.031,0.005,0.031
3,4,3,0,9.1,9.25,1.3,1.8,9.18,1.53,2.34,0.053,0.039,0.008,0.04
3,5,3,1,9.1,9.25,1.8,2.35,9.17,2.05,2.87,0.051,0.033,0.005,0.033
3,6,4,0,9.25,9.4,1.6,2.15,9.32,1.85,2.61,0.086,0.039,0.007,0.04
3,7,4,1,9.25,9.4,2.15,2.7,9.33,2.4,3.15,0.064,0.036,0.01,0.037
3,8,5,0,9.4,9.55,1.8,2.3,9.48,2.03,2.73,0.047,0.04,0.006,0.04
3,9,5,1,9.4,9.55,2.3,2.95,9.47,2.58,3.29,0.036,0.025,0.004,0.025
3,10,6,0,9.55,9.7,2.1,2.6,9.62,2.33,2.99,0.089,0.043,0.015,0.045
3,11,6,1,9.55,9.7,2.6,3.25,9.62,2.88,3.54,0.03,0.022,0.003,0.022
3,12,7,0,9.7,9.85,2.3,2.9,9.77,2.56,3.18,0.021,0.029,0.002,0.029
3,13,7,1,9.7,9.85,2.9,3.45,9.77,3.14,3.76,0.025,0.021,0.001,0.021
3,14,8,0,9.85,10,2.5,3.05,9.92,2.75,3.33,0.074,0.048,0.008,0.049
3,15,8,1,9.85,10,3.05,3.7,9.93,3.34,3.92,0.01,0.015,0.001,0.015
3,16,9,0,10,10.15,2.85,3.45,10.08,3.12,3.67,0.014,0.023,0.003,0.023
3,17,9,1,10,10.15,3.45,4.1,10.08,3.74,4.29,0.019,0.016,0.001,0.016
3,19,10,1,10.15,10.3,3.7,4.3,10.23,3.97,4.49,0.002,0.009,0.001,0.009
3,20,11,0,10.3,10.45,3.55,4,10.39,3.76,4.25,0.073,0.058,0.017,0.061
3,21,11,1,10.3,10.45,4,4.55,10.38,4.25,4.74,0.027,0.023,0.004,0.024
3,22,12,0,10.45,10.6,3.8,4.4,10.53,4.07,4.54,0.014,0.034,0.003,0.034
4,0,3,0,9.1,9.25,0.1,0.25,9.18,0.17,0.98,0.415,0.285,0.042,0.288
4,1,3,1,9.1,9.25,0.25,0.4,9.18,0.32,1.13,0.295,0.21,0.032,0.212
4,2,4,0,9.25,9.4,0.15,0.4,9.33,0.27,1.02,0.403,0.14,0.045,0.147
4,3,4,1,9.25,9.4,0.4,0.65,9.32,0.52,1.28,0.221,0.089,0.013,0.09
4,4,4,2,9.25,9.4,0.65,0.95,9.33,0.79,1.54,0.269,0.1,0.026,0.103
4,5,5,0,9.4,9.55,0.3,0.6,9.48,0.44,1.14,0.417,0.114,0.027,0.117
4,6,5,1,9.4,9.55,0.6,0.9,9.48,0.74,1.44,0.173,0.067,0.02,0.07
4,7,5,2,9.4,9.55,0.9,1.2,9.47,1.04,1.75,0.124,0.071,0.017,0.073
4,8,6,0,9.55,9.7,0.4,0.7,9.63,0.54,1.2,0.389,0.132,0.028,0.135
4,9,6,1,9.55,9.7,0.7,1.1,9.63,0.88,1.54,0.25,0.061,0.01,0.062
4,10,6,2,9.55,9.7,1.1,1.55,9.63,1.31,1.97,0.095,0.047,0.009,0.048
4,11,7,0,9.7,9.85,0.65,1,9.78,0.81,1.43,0.298,0.087,0.015,0.089
4,12,7,1,9.7,9.85,1,1.35,9.78,1.16,1.78,0.101,0.047,0.005,0.047
4,13,7,2,9.7,9.85,1.35,1.75,9.78,1.53,2.15,0.043,0.041,0.007,0.042
4,14,8,0,9.85,10,0.9,1.4,9.92,1.13,1.71,0.102,0.049,0.016,0.051
4,15,8,1,9.85,10,1.4,2.05,9.92,1.69,2.27,0.106,0.04,0.01,0.041
4,16,9,0,10,10.15,0.95,1.5,10.07,1.2,1.75,0.325,0.086,0.009,0.086
4,17,9,1,10,10.15,1.5,2.2,10.07,1.8,2.35,0.116,0.041,0.014,0.043
4,18,10,0,10.15,10.3,1.2,1.8,10.23,1.47,1.99,0.213,0.074,0.017,0.076
4,19,10,1,10.15,10.3,1.8,2.45,10.23,2.09,2.61,0.097,0.042,0.003,0.042
4,20,11,0,10.3,10.45,1.35,1.95,10.38,1.62,2.11,0.167,0.085,0.005,0.085
4,21,11,1,10.3,10.45,1.95,2.6,10.38,2.24,2.73,0.043,0.034,0.002,0.034
4,22,12,0,10.45,10.6,1.7,2.55,10.55,2.06,2.52,0.06,0.046,0.009,0.046
,,G1,,8.2,9.28,0.77,1,9.14,,0.92,0.313,0.092,0.12,0.151208465
,,G1,,8.2,9.28,1,1.5,8.96,,1.25,0.17,0.018,0.008,0.019697716
,,G1,,8.2,9.28,1.5,2,8.8,,1.72,0.097,0.01,0.04,0.041231056
,,G1,,8.2,9.28,2,2.5,8.77,,2.24,0.045,0.007,0.003,0.007615773
,,G1,,8.2,9.28,2.5,3.5,8.78,,2.94,0.018,0.003,0.009,0.009486833
,,G1,,8.2,9.28,3.5,4.5,8.95,,3.92,0.03,0.006,0.004,0.007211103
,,G1,,8.2,9.28,4.5,5.75,9.1,,4.95,0.033,0.013,0.012,0.017691806
,,G2,,9.28,10.36,0.49,0.77,10,,0.69,0.813,0.088,0.092,0.127310644
,,G2,,9.28,10.36,0.77,1,9.85,,0.87,0.499,0.061,0.016,0.06306346
,,G2,,9.28,10.36,1,1.5,9.83,,1.21,0.401,0.037,0.01,0.038327536
,,G2,,9.28,10.36,1.5,2,9.83,,1.71,0.231,0.027,0.006,0.027658633
,,G2,,9.28,10.36,2,2.5,9.82,,2.24,0.12,0.021,0.007,0.022135944
,,G2,,9.28,10.36,2.5,3.5,9.84,,2.97,0.075,0.011,0.005,0.012083046
,,G2,,9.28,10.36,3.5,4.5,9.86,,3.89,0.026,0.008,0.006,0.01
,,G2,,9.28,10.36,4.5,5.75,9.76,,5.06,0.019,0.005,0.002,0.005385165
,,G2,,9.28,10.36,5.75,8.1,9.93,,6.37,0.009,0.004,0.003,0.005
,,G3,,10.36,11.44,0.35,0.49,10.96,,0.46,1.611,0.187,0.139,0.233002146
,,G3,,10.36,11.44,0.49,0.77,10.87,,0.6,1.15,0.084,0.109,0.137611773
,,G3,,10.36,11.44,0.77,1,10.85,,0.88,1.015,0.089,0.023,0.091923882
,,G3,,10.36,11.44,1,1.5,10.86,,1.18,0.529,0.042,0.023,0.04788528
,,G3,,10.36,11.44,1.5,2,10.86,,1.69,0.242,0.029,0.008,0.030083218
,,G3,,10.36,11.44,2,2.5,10.83,,2.24,0.17,0.025,0.003,0.025179357
,,G3,,10.36,11.44,2.5,3.5,10.82,,2.87,0.072,0.012,0.008,0.014422205
,,G3,,10.36,11.44,3.5,4.5,10.81,,3.92,0.051,0.009,0.002,0.009219544
,,G3,,10.36,11.44,4.5,5.75,10.78,,4.93,0.016,0.005,0.001,0.00509902
,,G3,,10.36,11.44,5.75,8.1,10.7,,6.97,0.0058,0.0026,0.0008,0.002720294
,,G3,,10.36,11.44,8.1,10.3,10.7,,8.36,0.0047,0.0024,0.0002,0.002408319
